stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,623.4,-89.526572,36.337416
-14,721.8,-89.526572,36.337416
-13,1017.1,-89.557205,36.335557
-12,1049.9,-89.557205,36.335557
-11,1115.5,-89.555184,36.335189
-10,1213.9,-89.560221,36.336433
-9,1279.5,-89.560221,36.336433
-8,1378.0,-89.55821,36.33586
-7,1410.8,-89.559215,36.336164
-6,1443.6,-89.548101,36.334161
-5,1673.2,-89.54912,36.334156
-4,1738.8,-89.557205,36.335557
-3,1804.5,-89.557205,36.335557
-2,1804.5,-89.535883,36.334116
-1,1837.3,-89.540979,36.334023
0,1837.3,-89.535883,36.334116
1,1837.3,-89.535883,36.334116
2,1837.3,-89.535883,36.334116
3,1837.3,-89.535883,36.334116
4,1837.3,-89.535883,36.334116
5,1837.3,-89.535883,36.334116
6,1837.3,-89.535883,36.334116
7,1870.1,-89.536908,36.333974
8,1870.1,-89.536908,36.333974
9,1870.1,-89.536908,36.333974
10,1870.1,-89.536908,36.333974
11,1870.1,-89.536908,36.333974
12,1870.1,-89.536908,36.333974
13,1870.1,-89.536908,36.333974
14,1870.1,-89.536908,36.333974
15,1870.1,-89.536908,36.333974
16,1870.1,-89.536908,36.333974
17,1870.1,-89.536908,36.333974
18,1870.1,-89.536908,36.333974
19,1870.1,-89.536908,36.333974
