stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,395.4,-89.49698,36.470047
-14,400.4,-89.49698,36.470047
-13,401.7,-89.494021,36.46536
-12,401.7,-89.494021,36.46536
-11,401.7,-89.494021,36.46536
-10,401.7,-89.494021,36.46536
-9,401.7,-89.494021,36.46536
-8,401.7,-89.494021,36.46536
-7,401.7,-89.494021,36.46536
-6,401.7,-89.494021,36.46536
-5,401.7,-89.494021,36.46536
-4,401.7,-89.494021,36.46536
-3,401.7,-89.494021,36.46536
-2,401.7,-89.494021,36.46536
-1,401.7,-89.494021,36.46536
0,401.7,-89.494021,36.46536
1,401.7,-89.494021,36.46536
2,401.7,-89.494021,36.46536
3,401.7,-89.494021,36.46536
4,401.7,-89.494021,36.46536
5,401.7,-89.494021,36.46536
6,401.7,-89.494021,36.46536
7,401.7,-89.494021,36.46536
8,401.7,-89.494021,36.46536
9,401.7,-89.494021,36.46536
10,401.7,-89.494021,36.46536
11,401.7,-89.494021,36.46536
12,401.7,-89.494021,36.46536
13,401.7,-89.494021,36.46536
14,401.7,-89.494021,36.46536
15,401.7,-89.494021,36.46536
16,401.7,-89.494021,36.46536
17,401.7,-89.494021,36.46536
18,401.7,-89.494021,36.46536
19,401.7,-89.494021,36.46536
