stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1952.0,-89.468877,36.459767
-14,1952.0,-89.468877,36.459767
-13,1952.0,-89.468877,36.459767
-12,1952.0,-89.468877,36.459767
-11,1952.0,-89.468877,36.459767
-10,1952.0,-89.468877,36.459767
-9,1952.0,-89.468877,36.459767
-8,1952.0,-89.468877,36.459767
-7,1952.0,-89.468877,36.459767
-6,1952.0,-89.468877,36.459767
-5,1952.0,-89.468877,36.459767
-4,1952.0,-89.468877,36.459767
-3,1952.0,-89.468877,36.459767
-2,1952.0,-89.468877,36.459767
-1,1952.0,-89.468877,36.459767
0,1952.0,-89.468877,36.459767
1,1952.0,-89.468877,36.459767
2,1952.0,-89.468877,36.459767
3,1952.0,-89.468877,36.459767
4,1952.0,-89.468877,36.459767
5,1952.0,-89.468877,36.459767
6,1952.0,-89.468877,36.459767
7,1952.0,-89.468877,36.459767
8,1952.0,-89.468877,36.459767
9,1952.0,-89.468877,36.459767
10,1952.0,-89.468877,36.459767
11,1952.0,-89.468877,36.459767
12,1952.0,-89.468877,36.459767
13,1952.0,-89.468877,36.459767
14,1952.0,-89.468877,36.459767
15,1952.0,-89.468877,36.459767
16,1952.0,-89.468877,36.459767
17,1952.0,-89.468877,36.459767
18,1952.0,-89.468877,36.459767
19,1952.0,-89.468877,36.459767
