stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1115.5,-89.566549,36.530818
-14,1148.3,-89.566549,36.530818
-13,1148.3,-89.566549,36.530818
-12,1148.3,-89.566549,36.530818
-11,1181.1,-89.566549,36.530818
-10,1181.1,-89.566549,36.530818
-9,1181.1,-89.566549,36.530818
-8,1213.9,-89.566549,36.530818
-7,1246.7,-89.566549,36.530818
-6,1312.3,-89.566549,36.530818
-5,1345.1,-89.566549,36.530818
-4,1443.6,-89.566549,36.530818
-3,1574.8,-89.566549,36.530818
-2,1673.2,-89.566549,36.530818
-1,1706.0,-89.566549,36.530818
0,1804.5,-89.566549,36.530818
1,1837.3,-89.566549,36.530818
2,1837.3,-89.566549,36.530818
3,1837.3,-89.566549,36.530818
4,1837.3,-89.566549,36.530818
5,1870.1,-89.566549,36.530818
6,1870.1,-89.566549,36.530818
7,1870.1,-89.566549,36.530818
8,1902.9,-89.566549,36.530818
9,1902.9,-89.566549,36.530818
10,1902.9,-89.566549,36.530818
11,1902.9,-89.566549,36.530818
12,1902.9,-89.566549,36.530818
13,1902.9,-89.566549,36.530818
14,1902.9,-89.566549,36.530818
15,1902.9,-89.566549,36.530818
16,1902.9,-89.566549,36.530818
17,1902.9,-89.566549,36.530818
18,1902.9,-89.566549,36.530818
19,1902.9,-89.566549,36.530818
