stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1476.4,-89.49689,36.470241
-14,1509.2,-89.49689,36.470241
-13,1574.8,-89.49689,36.470241
-12,1607.6,-89.49689,36.470241
-11,1640.4,-89.49689,36.470241
-10,1673.2,-89.49689,36.470241
-9,1706.0,-89.49689,36.470241
-8,1738.8,-89.49689,36.470241
-7,1738.8,-89.448239,36.463377
-6,1738.8,-89.448239,36.463377
-5,1738.8,-89.448239,36.463377
-4,1738.8,-89.448239,36.463377
-3,1738.8,-89.448239,36.463377
-2,1738.8,-89.448239,36.463377
-1,1738.8,-89.448239,36.463377
0,1738.8,-89.448239,36.463377
1,1738.8,-89.448239,36.463377
2,1738.8,-89.448239,36.463377
3,1738.8,-89.448239,36.463377
4,1738.8,-89.448239,36.463377
5,1738.8,-89.448239,36.463377
6,1738.8,-89.448239,36.463377
7,1738.8,-89.448239,36.463377
8,1738.8,-89.448239,36.463377
9,1738.8,-89.448239,36.463377
10,1738.8,-89.448239,36.463377
11,1738.8,-89.448239,36.463377
12,1738.8,-89.448239,36.463377
13,1738.8,-89.448239,36.463377
14,1738.8,-89.448239,36.463377
15,1738.8,-89.448239,36.463377
16,1738.8,-89.448239,36.463377
17,1738.8,-89.448239,36.463377
18,1738.8,-89.448239,36.463377
19,1738.8,-89.448239,36.463377
