stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,656.5,-89.317173,36.604948
-14,679.2,-89.317173,36.604948
-13,739.3,-89.317772,36.604859
-12,821.5,-89.332605,36.601803
-11,852.8,-89.332605,36.601803
-10,881.8,-89.332605,36.601803
-9,990.5,-89.332605,36.601803
-8,997.0,-89.332605,36.601803
-7,1002.8,-89.332605,36.601803
-6,1002.8,-89.332605,36.601803
-5,1002.8,-89.332605,36.601803
-4,1002.8,-89.332605,36.601803
-3,1002.8,-89.332605,36.601803
-2,1002.8,-89.332605,36.601803
-1,1002.8,-89.332605,36.601803
0,1002.8,-89.332605,36.601803
1,1002.8,-89.332605,36.601803
2,1002.8,-89.332605,36.601803
3,1002.8,-89.332605,36.601803
4,1002.8,-89.332605,36.601803
5,1002.8,-89.332605,36.601803
6,1002.8,-89.332605,36.601803
7,1002.8,-89.332605,36.601803
8,1002.8,-89.332605,36.601803
9,1002.8,-89.332605,36.601803
10,1002.8,-89.332605,36.601803
11,1002.8,-89.332605,36.601803
12,1002.8,-89.332605,36.601803
13,1002.8,-89.332605,36.601803
14,1002.8,-89.332605,36.601803
15,1002.8,-89.332605,36.601803
16,1002.8,-89.332605,36.601803
17,1002.8,-89.332605,36.601803
18,1002.8,-89.332605,36.601803
19,1002.8,-89.332605,36.601803
