stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1021.1,-89.215516,36.570398
-14,1025.9,-89.215516,36.570398
-13,1030.6,-89.215516,36.570398
-12,1035.4,-89.215516,36.570398
-11,1040.1,-89.215516,36.570398
-10,1045.0,-89.215516,36.570398
-9,1049.9,-89.215516,36.570398
-8,1054.9,-89.215516,36.570398
-7,1059.8,-89.215516,36.570398
-6,1065.1,-89.215516,36.570398
-5,1070.4,-89.215516,36.570398
-4,1075.8,-89.215516,36.570398
-3,1081.1,-89.215516,36.570398
-2,1085.3,-89.215516,36.570398
-1,1089.5,-89.215516,36.570398
0,1093.8,-89.215516,36.570398
1,1098.0,-89.215516,36.570398
2,1105.2,-89.215516,36.570398
3,1118.6,-89.215516,36.570398
4,1124.7,-89.215516,36.570398
5,1129.3,-89.215516,36.570398
6,1133.9,-89.215516,36.570398
7,1138.5,-89.215516,36.570398
8,1143.5,-89.215516,36.570398
9,1149.2,-89.215516,36.570398
10,1155.0,-89.215516,36.570398
11,1160.7,-89.215516,36.570398
12,1166.9,-89.215516,36.570398
13,1173.2,-89.215516,36.570398
14,1180.7,-89.215516,36.570398
15,1183.4,-89.215516,36.570398
16,1183.4,-89.215516,36.570398
17,1183.4,-89.215516,36.570398
18,1183.4,-89.215516,36.570398
19,1183.4,-89.215516,36.570398
