stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,814.2,-89.16882,36.646995
-14,843.6,-89.16882,36.646995
-13,859.4,-89.16882,36.646995
-12,915.0,-89.16882,36.646995
-11,942.6,-89.16882,36.646995
-10,963.5,-89.16882,36.646995
-9,983.2,-89.169691,36.646389
-8,1007.3,-89.169691,36.646389
-7,1021.7,-89.169691,36.646389
-6,1099.9,-89.169691,36.646389
-5,1152.6,-89.169691,36.646389
-4,1215.2,-89.169691,36.646389
-3,1360.5,-89.180309,36.639306
-2,1396.0,-89.178582,36.640168
-1,1411.3,-89.178582,36.640168
0,1519.8,-89.176119,36.641939
1,1538.9,-89.178582,36.640168
2,1601.0,-89.178582,36.640168
3,1627.3,-89.178582,36.640168
4,1704.0,-89.178582,36.640168
5,1738.0,-89.181666,36.638622
6,1792.0,-89.181666,36.638622
7,1833.3,-89.178582,36.640168
8,1860.0,-89.181666,36.638622
9,1909.5,-89.178582,36.640168
10,1911.2,-89.178582,36.640168
11,1911.2,-89.178582,36.640168
12,1911.2,-89.178582,36.640168
13,1911.2,-89.178582,36.640168
14,1911.2,-89.178582,36.640168
15,1911.2,-89.178582,36.640168
16,1911.2,-89.178582,36.640168
17,1911.2,-89.178582,36.640168
18,1911.2,-89.178582,36.640168
19,1911.2,-89.178582,36.640168
