stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,524.9,-89.229875,36.567388
-14,820.2,-89.229875,36.567388
-13,885.8,-89.229875,36.567388
-12,1279.5,-89.237168,36.564426
-11,1345.1,-89.237168,36.564426
-10,1640.4,-89.240236,36.564352
-9,1640.4,-89.240236,36.564352
-8,1673.2,-89.240236,36.564352
-7,1771.7,-89.239206,36.564525
-6,1804.5,-89.239206,36.564525
-5,1837.3,-89.263795,36.562896
-4,1837.3,-89.263795,36.562896
-3,1837.3,-89.263795,36.562896
-2,1837.3,-89.263795,36.562896
-1,1837.3,-89.263795,36.562896
0,1837.3,-89.263795,36.562896
1,1837.3,-89.263795,36.562896
2,1837.3,-89.263795,36.562896
3,1837.3,-89.263795,36.562896
4,1837.3,-89.263795,36.562896
5,1837.3,-89.263795,36.562896
6,1837.3,-89.263795,36.562896
7,1837.3,-89.263795,36.562896
8,1837.3,-89.263795,36.562896
9,1837.3,-89.263795,36.562896
10,1837.3,-89.263795,36.562896
11,1837.3,-89.263795,36.562896
12,1837.3,-89.263795,36.562896
13,1837.3,-89.263795,36.562896
14,1837.3,-89.263795,36.562896
15,1837.3,-89.263795,36.562896
16,1837.3,-89.263795,36.562896
17,1837.3,-89.263795,36.562896
18,1837.3,-89.263795,36.562896
19,1837.3,-89.263795,36.562896
