stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1345.1,-89.224489,36.566163
-14,1345.1,-89.224489,36.566163
-13,1542.0,-89.224489,36.566163
-12,1542.0,-89.224489,36.566163
-11,1607.6,-89.224489,36.566163
-10,1738.8,-89.224489,36.566163
-9,1870.1,-89.224489,36.566163
-8,1935.7,-89.224489,36.566163
-7,1935.7,-89.224489,36.566163
-6,1935.7,-89.224489,36.566163
-5,1935.7,-89.224489,36.566163
-4,1935.7,-89.224489,36.566163
-3,1935.7,-89.224489,36.566163
-2,1935.7,-89.224489,36.566163
-1,1935.7,-89.224489,36.566163
0,1935.7,-89.224489,36.566163
1,1935.7,-89.224489,36.566163
2,1935.7,-89.224489,36.566163
3,1968.5,-89.224489,36.566163
4,1968.5,-89.224489,36.566163
5,1968.5,-89.224489,36.566163
6,1968.5,-89.224489,36.566163
7,1968.5,-89.224489,36.566163
8,1968.5,-89.224489,36.566163
9,1968.5,-89.224489,36.566163
10,1968.5,-89.224489,36.566163
11,1968.5,-89.224489,36.566163
12,1968.5,-89.224489,36.566163
13,2001.3,-89.224489,36.566163
14,2034.1,-89.224489,36.566163
15,2034.1,-89.224489,36.566163
16,2034.1,-89.209844,36.586293
17,2034.1,-89.209844,36.586293
18,2034.1,-89.209844,36.586293
19,2034.1,-89.209844,36.586293
