stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1017.1,-89.205885,36.614433
-14,1049.9,-89.20593,36.615259
-13,1082.7,-89.205885,36.614433
-12,1148.3,-89.205885,36.614433
-11,1181.1,-89.20593,36.615259
-10,1213.9,-89.205639,36.617721
-9,1246.7,-89.205639,36.617721
-8,1279.5,-89.205679,36.616898
-7,1279.5,-89.205679,36.616898
-6,1345.1,-89.205679,36.616898
-5,1410.8,-89.205639,36.617721
-4,1837.3,-89.20593,36.615259
-3,1837.3,-89.20593,36.615259
-2,1837.3,-89.20593,36.615259
-1,1837.3,-89.20593,36.615259
0,1837.3,-89.20593,36.615259
1,1837.3,-89.20593,36.615259
2,1837.3,-89.20593,36.615259
3,1837.3,-89.20593,36.615259
4,1837.3,-89.20593,36.615259
5,1837.3,-89.20593,36.615259
6,1837.3,-89.20593,36.615259
7,1837.3,-89.20593,36.615259
8,1837.3,-89.20593,36.615259
9,1837.3,-89.20593,36.615259
10,1837.3,-89.20593,36.615259
11,1837.3,-89.20593,36.615259
12,1837.3,-89.20593,36.615259
13,1837.3,-89.20593,36.615259
14,1837.3,-89.20593,36.615259
15,1837.3,-89.20593,36.615259
16,1837.3,-89.20593,36.615259
17,1837.3,-89.20593,36.615259
18,1837.3,-89.20593,36.615259
19,1837.3,-89.20593,36.615259
