stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-89.194965,36.627706
-14,0.0,-89.194965,36.627706
-13,0.0,-89.197342,36.627009
-12,0.0,-89.197342,36.627009
-11,0.0,-89.198439,36.626822
-10,0.0,-89.198439,36.626822
-9,600.2,-89.205496,36.619688
-8,626.1,-89.205496,36.619688
-7,666.5,-89.205557,36.618975
-6,679.1,-89.205557,36.618975
-5,947.4,-89.205574,36.617245
-4,956.8,-89.205574,36.617245
-3,956.8,-89.205574,36.617245
-2,956.8,-89.205574,36.617245
-1,956.8,-89.205574,36.617245
0,956.8,-89.205574,36.617245
1,956.8,-89.205574,36.617245
2,956.8,-89.205574,36.617245
3,956.8,-89.205574,36.617245
4,956.8,-89.205574,36.617245
5,956.8,-89.205574,36.617245
6,956.8,-89.205574,36.617245
7,956.8,-89.205574,36.617245
8,956.8,-89.205574,36.617245
9,956.8,-89.205574,36.617245
10,956.8,-89.205574,36.617245
11,956.8,-89.205574,36.617245
12,956.8,-89.205574,36.617245
13,956.8,-89.205574,36.617245
14,956.8,-89.205574,36.617245
15,956.8,-89.205574,36.617245
16,956.8,-89.205574,36.617245
17,956.8,-89.205574,36.617245
18,956.8,-89.205574,36.617245
19,956.8,-89.205574,36.617245
