stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-8,51848.3,-89.310551,37.010089
-7,51848.3,-89.310551,37.010089
-6,51848.3,-89.310551,37.010089
-5,51848.3,-89.310551,37.010089
-4,51848.3,-89.310551,37.010089
-3,51848.3,-89.310551,37.010089
-2,51848.3,-89.310551,37.010089
-1,51848.3,-89.310551,37.010089
0,51848.3,-89.310551,37.010089
1,51848.3,-89.310551,37.010089
2,51848.3,-89.310551,37.010089
3,51848.3,-89.310551,37.010089
4,51848.3,-89.310551,37.010089
5,51848.3,-89.310551,37.010089
6,51848.3,-89.310551,37.010089
7,51848.3,-89.310551,37.010089
8,51848.3,-89.310551,37.010089
9,51848.3,-89.310551,37.010089
10,51848.3,-89.310551,37.010089
11,51848.3,-89.310551,37.010089
12,51848.3,-89.310551,37.010089
13,51848.3,-89.310551,37.010089
14,51848.3,-89.310551,37.010089
15,51848.3,-89.310551,37.010089
16,51848.3,-89.310551,37.010089
17,51848.3,-89.310551,37.010089
18,51848.3,-89.310551,37.010089
