stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-8,418.8,-89.459967,37.251158
-7,418.8,-89.459967,37.251158
-6,418.8,-89.459967,37.251158
-5,418.8,-89.459967,37.251158
-4,418.8,-89.459967,37.251158
-3,418.8,-89.459967,37.251158
-2,418.8,-89.459967,37.251158
-1,418.8,-89.459967,37.251158
0,418.8,-89.459967,37.251158
1,418.8,-89.459967,37.251158
2,418.8,-89.459967,37.251158
3,418.8,-89.459967,37.251158
4,418.8,-89.459967,37.251158
5,418.8,-89.459967,37.251158
6,418.8,-89.459967,37.251158
7,418.8,-89.459967,37.251158
8,418.8,-89.459967,37.251158
9,418.8,-89.459967,37.251158
10,418.8,-89.459967,37.251158
11,418.8,-89.459967,37.251158
12,418.8,-89.459967,37.251158
13,418.8,-89.459967,37.251158
14,418.8,-89.459967,37.251158
15,418.8,-89.459967,37.251158
16,418.8,-89.459967,37.251158
17,418.8,-89.459967,37.251158
18,418.8,-89.459967,37.251158
