stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-8,0.0,-90.259694,38.530442
-7,0.0,-90.260769,38.529042
-6,133.3,-90.260769,38.529042
-5,193.5,-90.260769,38.529042
-4,293.0,-90.262089,38.528401
-3,364.5,-90.260769,38.529042
-2,431.1,-90.260769,38.529042
-1,554.7,-90.263973,38.525936
0,738.7,-90.264057,38.52513
1,835.2,-90.264099,38.524862
2,883.6,-90.264099,38.524862
3,895.8,-90.259508,38.530669
4,907.6,-90.259508,38.530669
5,1022.5,-90.259105,38.531403
6,1029.3,-90.265814,38.521465
7,1029.3,-90.265814,38.521465
8,1029.3,-90.265814,38.521465
9,1029.3,-90.265814,38.521465
10,1029.3,-90.265814,38.521465
11,1029.3,-90.265814,38.521465
12,1029.3,-90.265814,38.521465
13,1029.3,-90.265814,38.521465
14,1029.3,-90.265814,38.521465
15,1029.3,-90.265814,38.521465
16,1029.3,-90.265814,38.521465
17,1029.3,-90.265814,38.521465
18,1029.3,-90.265814,38.521465
