CityName,MileMarker,LAT,LON,reference_label,uncertainty_ft
stlouis,1132.6,38.629,-90.17977778,St. Louis gage at -3 ft,0.0
chester,1062.9,37.90075,-89.83022222,St. Louis gage at -3 ft,1.5
capegir,1005.1,37.30415121,-89.51748175,St. Louis gage at -3 ft,3.5
wickliffe,950.5,36.948901,-89.096166,Memphis gage at -10 ft,2.0
hickman,922.0,36.569671,-89.205701,Memphis gage at -10 ft,2.5
newmadrid,889.0,36.5809,-89.547454,Memphis gage at -10 ft,2.5
tipton,875.8,36.412438,-89.537728,Memphis gage at -10 ft,2.5
caruthers,846.4,36.194131,-89.652723,Memphis gage at -10 ft,2.5
osceola,783.5,35.656894,-89.9277,Memphis gage at -10 ft,3.5
memphis,734.4,35.123024,-90.077404,Memphis gage at -10 ft,0.0
mhoonl,687.5,34.740777,-90.445145,Memphis gage at -10 ft,3.0
helena,663.1,34.51667,-90.58417,Memphis gage at -10 ft,2.0
friarsp,652.5,34.38378889,-90.62428333,Memphis gage at -10 ft,1.5
rosedale,584.5,33.82111389,-91.02166111,Memphis gage at -10 ft,2.5
arkcity,554.1,33.551509,-91.238365,Greenville gage at 7 ft,2.0
greenville,531.3,33.2854,-91.15632222,Greenville gage at 7 ft,0.0
vicksburg,435.4,32.311832,-90.902332,Greenville gage at 7 ft,3.0
natchez,363.3,31.544017,-91.433412,Greenville gage at 7 ft,4.0
batonrouge,228.4,30.42916667,-91.20694444,Greenville gage at 7 ft,4.0
