survey_id,reviewed_at,flipped,status
LM_01_GCB_20150907_CS_3200_3224,2026-09-21T19:34:41.990133+00:00,True,confirmed
LM_01_GCB_20150908_CS_3226_3280,2026-09-21T19:38:34.040296+00:00,,skipped
LM_01_GCB_20150909_CS_3414_3454,2026-09-21T19:38:51.615165+00:00,True,confirmed
LM_01_GCB_20150910_CS_3282_3412,2026-09-21T19:39:19.618082+00:00,True,confirmed
LM_01_GCB_20160901_CS_3200_3214,2026-09-21T19:39:24.966505+00:00,True,confirmed
LM_01_GCB_20160902_CS_3200_3454,2026-09-21T19:39:45.858261+00:00,True,confirmed
LM_01_GCB_20160903_CS_3258_3312,2026-09-21T19:40:00.645804+00:00,True,confirmed
LM_01_GCB_20160904_CS_3314_3454,2026-09-21T19:40:06.056134+00:00,True,confirmed
LM_01_GCB_20160905_CS_3200_3454,2026-09-21T19:40:09.411132+00:00,True,confirmed
LM_01_GCB_20170815_CS,2026-09-21T19:40:15.313933+00:00,True,confirmed
LM_01_GCB_20170816_CS,2026-09-21T19:40:19.439393+00:00,True,confirmed
LM_01_GCB_20170817_CS,2026-09-21T19:40:25.209418+00:00,True,confirmed
LM_01_GCB_20170818_CS,2026-09-21T19:40:29.999741+00:00,True,confirmed
LM_01_GCB_20180909_CS_3200_3454,2026-09-21T19:40:36.339424+00:00,True,confirmed
LM_01_GCB_20180910_CS_3200_3454,2026-09-21T19:40:40.556030+00:00,True,confirmed
LM_01_GCB_20180911_CS_3200_3454,2026-09-21T19:41:02.008661+00:00,True,confirmed
LM_01_GCB_20180912_CS_3200_3454,2026-09-21T19:41:10.973315+00:00,True,confirmed
LM_01_GCB_20190605_CS_3404_3454,2026-09-21T19:41:23.049628+00:00,True,confirmed
LM_01_GCB_20190606_CS_3346_3402,2026-09-21T19:41:26.956439+00:00,True,confirmed
LM_01_GCB_20190610_CS_3200_3248,2026-09-21T19:41:30.355614+00:00,True,confirmed
LM_01_GCB_20190611_CS_3250_3302,2026-09-21T19:41:33.852110+00:00,True,confirmed
