milemarkers,navd88
0.0,279.39
1.0,279.96
2.0,280.46
3.0,280.97
4.0,281.44
5.0,281.85
6.0,282.29
7.0,282.9
8.0,283.46
9.0,284.07
10.0,284.7
11.0,285.12
12.0,285.38
13.0,285.68
14.0,286.42
15.0,287.13
16.0,287.82
17.0,288.51
18.0,289.19
19.0,289.79
20.0,290.28
21.0,290.91
22.0,291.56
23.0,292.16
24.0,292.73
25.0,293.27
26.0,293.84
27.0,294.36
28.0,294.89
29.0,295.44
30.0,296.01
31.0,296.54
32.0,297.09
33.0,297.64
34.0,298.2
35.0,298.69
36.0,299.2
37.0,299.9
38.0,300.73
39.0,301.41
40.0,302.02
41.0,302.59
42.0,303.55
43.0,304.31
44.0,305.28
45.0,305.9
46.0,306.47
47.0,307.08
48.0,307.68
49.0,308.22
50.0,308.81
51.0,309.38
52.0,309.97
53.0,310.62
54.0,311.16
55.0,311.72
56.0,312.27
57.0,312.84
58.0,313.38
59.0,313.99
60.0,314.52
61.0,315.17
62.0,315.7
63.0,316.34
64.0,317.0
65.0,317.49
66.0,317.82
67.0,318.36
68.0,318.96
69.0,319.45
70.0,319.98
71.0,320.58
72.0,321.16
73.0,322.09
74.0,322.54
75.0,322.78
76.0,323.29
77.0,323.75
78.0,323.93
79.0,324.46
80.0,324.71
81.0,325.08
82.0,325.48
83.0,325.96
84.0,326.51
85.0,327.01
86.0,327.6
87.0,328.2
88.0,328.64
89.0,329.13
90.0,329.61
91.0,330.19
92.0,330.74
93.0,331.16
94.0,331.67
95.0,332.14
96.0,333.19
97.0,333.6
98.0,334.19
99.0,334.92
100.0,335.63
101.0,336.33
102.0,336.93
103.0,337.52
104.0,338.01
105.0,338.58
106.0,339.13
107.0,339.49
108.0,340.12
109.0,340.53
110.0,341.33
111.0,341.87
112.0,342.3
113.0,342.47
114.0,342.89
115.0,343.31
116.0,343.76
117.0,344.4
118.0,344.8
119.0,345.5
120.0,346.1
121.0,346.79
122.0,347.45
123.0,347.93
124.0,348.37
125.0,348.81
126.0,349.29
127.0,349.61
128.0,350.12
129.0,351.02
130.0,351.63
131.0,351.94
132.0,352.37
133.0,352.78
134.0,353.13
135.0,353.84
136.0,354.27
137.0,354.71
138.0,354.89
139.0,355.32
140.0,355.98
141.0,356.44
142.0,356.62
143.0,356.98
144.0,357.51
145.0,358.23
146.0,358.72
147.0,359.24
148.0,359.79
149.0,360.4
150.0,360.91
151.0,361.41
152.0,361.84
153.0,362.16
154.0,362.56
155.0,362.97
156.0,363.51
157.0,363.91
158.0,364.31
159.0,364.65
160.0,364.87
161.0,365.44
162.0,366.09
163.0,366.91
164.0,367.51
165.0,367.89
166.0,368.21
167.0,368.43
168.0,368.7
169.0,369.59
170.0,370.3
171.0,371.03
172.0,371.71
173.0,372.42
174.0,373.14
175.0,373.87
176.0,374.45
177.0,374.98
178.0,375.52
179.0,375.96
180.0,376.28
181.0,376.6
182.0,376.72
183.0,376.77
184.0,376.89
185.0,376.96
186.0,376.98
187.0,396.25
188.0,396.21
189.0,396.22
190.0,396.24
191.0,396.33
192.0,396.28
193.0,396.27
194.0,396.28
195.0,396.32
