,MileMarker,NAVD88_ft,LAT,LON
0,591,104.65,33.8797,-91.05441
1,592,105.01,33.89112,-91.04379
2,593,105.53,33.90228,-91.03256
3,594,106.41,33.91409,-91.02257
4,595,107.3,33.92828,-91.01769
5,596,108.19,33.93914,-91.02956
6,597,109.1,33.94617,-91.045
7,598,110.21,33.95113,-91.06142
8,599,110.58,33.95584,-91.07796
9,600,111.36,33.967108,-91.08517
10,601,111.82,33.98012,-91.07742
11,602,112.28,33.98841,-91.06355
12,603,112.7,33.99269,-91.04699
13,604,113.3,33.99672,-91.03011
14,605,113.8,34.00385,-91.01497
15,606,113.9,34.01262,-91.00111
16,607,114.0,34.02014,-90.98621
17,608,114.4,34.02298,-90.96938
18,609,115.3,34.02122,-90.95205
19,610,116.0,34.02068,-90.93507
20,611,116.3,34.02173,-90.9174
21,612,116.5,34.0252,-90.9006
22,613,117.7,34.03742,-90.89298
23,614,118.2,34.05172,-90.89503
24,615,118.4,34.06542,-90.90094
25,616,119.2,34.07891,-90.90732
26,617,120.0,34.09093,-90.9166
27,618,120.1,34.10051,-90.92999
28,619,120.3,34.10953,-90.94342
29,620,120.5,34.12127,-90.95307
30,621,121.4,34.13553,-90.95093
31,622,121.8,34.14719,-90.94093
32,623,122.3,34.15649,-90.92752
33,624,123.0,34.16418,-90.91275
34,625,123.3,34.17349,-90.89942
35,626,124.2,34.18279,-90.88615
36,627,124.6,34.18822,-90.86989
37,628,124.8,34.19757,-90.85661
38,629,125.1,34.2089,-90.84559
39,630,126.5,34.22243,-90.83965
40,631,127.1,34.23663,-90.839
41,632,127.1,34.25126,-90.83643
42,633,127.11,34.26543,-90.8334
43,634,127.8,34.27579,-90.82266
44,635,128.1,34.27789,-90.80548
45,636,128.3,34.2776,-90.78801
46,637,128.5,34.27864,-90.77052
47,638,129.2,34.28597,-90.75694
48,639,129.9,34.29286,-90.7398
49,640,130.3,34.30825,-90.73951
50,641,130.5,34.32243,-90.74341
51,642,130.7,34.33392,-90.75387
52,643,131.1,34.3444,-90.76604
53,644,131.4,34.35839,-90.76858
54,645,131.4,34.36734,-90.75574
55,646,131.8,34.36611,-90.73863
56,647,131.8,34.36208,-90.72176
57,648,132.5,34.36454,-90.70467
58,649,132.8,34.36926,-90.68798
59,650,133.1,34.37496,-90.67201
60,651,133.3,34.38249,-90.6573
61,652,135.1,34.38288,-90.63978
62,653,136.2,34.38669,-90.62321
63,654,136.5,34.39339,-90.60758
64,655,136.6,34.40236,-90.59393
65,656,136.9,34.41502,-90.58453
66,657,137.5,34.42965,-90.58368
67,658,138.0,34.44402,-90.58207
68,659,138.6,34.458,-90.58621
69,660,139.1,34.47222,-90.58996
70,661,139.4,34.48648,-90.59077
71,662,139.7,34.50031,-90.58632
72,663,139.9,34.51419,-90.58062
73,664,140.1,34.52366,-90.56765
74,665,140.5,34.53176,-90.553
75,666,141.3,34.54476,-90.54434
76,667,142.3,34.55938,-90.54592
77,668,143.1,34.57161,-90.55228
78,669,143.8,34.58249,-90.5629
79,670,144.2,34.59322,-90.57433
80,671,144.5,34.60594,-90.58292
81,672,145.01,34.6195,-90.58868
82,673,145.5,34.63374,-90.587
83,674,145.7,34.64791,-90.58357
84,675,146.11,34.66125,-90.5769
85,676,147.5,34.67419,-90.56919
86,677,148.21,34.6887,-90.56864
87,678,148.9,34.70315,-90.56948
88,679,149.0,34.71758,-90.56834
89,680,149.0,34.73199,-90.56655
90,681,149.5,34.742,-90.55522
91,682,150.1,34.73959,-90.53822
92,683,150.8,34.73327,-90.52235
93,684,151.41,34.7252,-90.50768
94,685,151.51,34.72414,-90.4902
95,686,151.6,34.72677,-90.47295
96,687,151.71,34.73213,-90.45669
97,688,152.3,34.7445,-90.44826
98,689,152.71,34.7582,-90.4519
99,690,153.21,34.77034,-90.46153
100,691,153.7,34.78273,-90.47056
101,692,154.2,34.79667,-90.47398
102,693,154.3,34.81029,-90.46806
103,694,154.7,34.81671,-90.45295
104,695,155.3,34.82115,-90.43624
105,696,155.8,34.82718,-90.42015
106,697,156.8,34.83661,-90.40679
107,698,158.2,34.84398,-90.39155
108,699,158.7,34.85049,-90.37594
109,700,159.4,34.8553,-90.35941
110,701,160.1,34.85867,-90.34225
111,702,160.5,34.8646,-90.32642
112,703,161.1,34.87244,-90.31129
113,704,161.8,34.8795,-90.29594
114,705,163.1,34.88478,-90.27953
115,706,164.0,34.8914,-90.26389
116,707,164.6,34.90092,-90.25085
117,708,164.8,34.91368,-90.24268
118,709,164.9,34.92817,-90.24241
119,710,165.3,34.94263,-90.24361
120,711,166.5,34.95438,-90.25337
121,712,166.8,34.96035,-90.26932
122,713,166.8,34.9689,-90.28357
123,714,167.1,34.97871,-90.29624
124,715,168.3,34.99199,-90.30323
125,716,168.7,35.00567,-90.29867
126,717,169.2,35.01579,-90.28619
127,718,169.9,35.02112,-90.27024
128,719,170.5,35.02047,-90.25266
129,720,171.1,35.01978,-90.23502
130,721,172.1,35.02287,-90.2178
131,722,173.0,35.03085,-90.2032
132,723,173.2,35.04206,-90.19213
133,724,173.4,35.0543,-90.18288
134,725,174.2,35.06833,-90.17878
135,726,174.8,35.08282,-90.18038
136,727,174.99,35.09723,-90.17928
137,728,175.0,35.11153,-90.1757
138,729,175.1,35.12352,-90.16625
139,730,175.3,35.13084,-90.15118
140,731,175.6,35.13109,-90.13384
141,732,175.8,35.12471,-90.11812
142,733,176.11,35.11843,-90.10237
143,734,176.8,35.12115,-90.08556
144,735,176.91,35.13128,-90.07279
145,736,177.2,35.1439,-90.06493
146,737,178.21,35.15843,-90.06438
147,738,178.8,35.17294,-90.06313
