chunk,river,survey_id,date
2021-1,LM,LM_24_CARX_20210114_CS_870_866_MERRIWETHER_LWRP,2021-01-14
2021-1,LM,LM_24_CARX_20210119_CS_8423_840_LINWOOD_LWRP,2021-01-19
2021-1,LM,LM_15_CVB_20210121_CS_5940_5970_SPECIAL,2021-01-21
2021-1,LM,LM_26_HIKX_20210121_CS_9314_927_LOWER_WOLF_LWRP,2021-01-21
2021-1,LM,LM_26_HIKX_20210121_CS_936_9315_UPPER_WOLF_LWRP,2021-01-21
2021-1,LM,LM_08_MVF_20210128_CS_4820_4900_SPECIAL,2021-01-28
2021-1,LM,LM_23_OSCX_20210128_CS_817_811_TAMM_RS_LWRP,2021-01-28
2021-1,LM,LM_19_MEMX_20210302_CS_720_7176_ARMS_LWRP,2021-03-02
2021-1,LM,LM_25_MADX_20210311_CS_902_898_WINCHESTER_LWRP,2021-03-11
2021-1,LM,LM_24_CARX_20210312_CS_842_840_LINWOOD_LWRP,2021-03-12
2021-1,LM,LM_23_OSCX_20210313_CS_817_8104_TAMM_RS_LWRP,2021-03-13
2021-1,LM,LM_16_OVLX_20210314_CS_6104_6075_LACONIA_LWRP,2021-03-14
2021-1,LM,LM_16_OVLX_20210322_CS_6075_604_CLAYWILSON_LWRP,2021-03-22
2021-1,LM,LM_24_CARX_20210322_CS_842_840_LINWOOD_LWRP,2021-03-22
2021-1,LM,LM_16_OVLX_20210323_CS_610_608_LACONIA_LWRP,2021-03-23
2021-1,LM,LM_24_CARX_20210323_CS_870_866_MERIIWETHER_LWRP,2021-03-23
2021-1,LM,LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26
2021-1,LM,LM_26_HIK_20210327_CS_931_WI3_SORT,2021-03-27
2021-1,LM,LM_26_HIK_20210327_CS_933_WI2_SORT,2021-03-27
2021-1,LM,LM_26_HIK_20210327_CS_934_WI1_SORT,2021-03-27
2021-1,LM,LM_01_HBR_20210420_CS_5040_25,2021-04-20
2021-1,LM,LM_15_CVB_20210420_CS_6170_6152,2021-04-20
2021-1,LM,LM_15_CVB_20210421_CS_6150_6128,2021-04-21
2021-1,LM,LM_15_CVB_20210422_CS_6126_6092,2021-04-22
2021-1,LM,LM_15_CVB_20210423_CS_6094_6056,2021-04-23
2021-1,LM,LM_14_VBO_20210424_CS_5938_5904,2021-04-24
2021-1,LM,LM_15_CVB_20210424_CS_6070_6028,2021-04-24
2021-1,LM,LM_14_VBO_20210425_CS_5902_5862,2021-04-25
2021-1,LM,LM_15_CVB_20210425_CS_6026_6000,2021-04-25
2021-1,LM,LM_14_VBO_20210426_CS_5860_5824,2021-04-26
2021-1,LM,LM_14_VBO_20210427_CS_5822_5810,2021-04-27
2021-1,LM,LM_13_OZE_20210506_CS_5810_5796,2021-05-06
2021-1,LM,LM_13_OZE_20210507_CS_5794_5748,2021-05-07
2021-1,LM,LM_13_OZE_20210508_CS_5746_5698,2021-05-08
2021-1,LM,LM_12_EYB_20210509_CS_5658_5620,2021-05-09
2021-1,LM,LM_13_OZE_20210509_CS_5696_5658,2021-05-09
2021-1,LM,LM_12_EYB_20210510_CS_5610_5586,2021-05-10
2021-1,LM,LM_12_EYB_20210511_CS_5584_5546,2021-05-11
2021-1,LM,LM_12_EYB_20210512_CS_5544_5502,2021-05-12
2021-1,LM,LM_11_YBS_20210517_CS_5404_5368,2021-05-17
2021-1,LM,LM_11_YBS_20210518_CS_5446_5406,2021-05-18
2021-1,LM,LM_11_YBS_20210519_CS_5486_5448,2021-05-19
2021-1,LM,LM_11_YBS_20210520_CS_5502_5488,2021-05-20
2021-1,LM,LM_23_OSC_20210521_CS_784_LBL_SORT,2021-05-21
2021-1,LM,LM_08_MVF_20210526_CS_4958_4786,2021-05-26
2021-1,LM,LM_08_MVF_20210527_CS_4800_4786,2021-05-27
2021-1,LM,LM_09_LPM_20210604_CS_5220_5178,2021-06-04
2021-1,LM,LM_09_LPM_20210605_CS_5176_5148,2021-06-05
2021-1,LM,LM_09_LPM_20210606_CS_5146_5104,2021-06-06
2021-1,LM,LM_09_LPM_20210607_CS_5102_5068,2021-06-07
2021-2,LM,LM_07_FMB_20210609_CS_4786_4756,2021-06-09
2021-2,LM,LM_09_LPM_20210609_CS_5072_5034,2021-06-09
2021-2,LM,LM_09_LPM_20210610_CS_5032_4998,2021-06-10
