,date,stlouis,chester,capegir,wickliffe,hickman,newmadrid,tipton,caruthers,osceola,memphis,mhoonl,helena,friarsp,rosedale,arkcity,greenville,lakeprov,vicksburg,natchez
0,2000-01-01,380.69,342.97,,,270.72999999999996,256.88,,239.53,205.23,175.53,,143.20000000000002,,,99.86,89.42,,55.03,34.379999999999995
1,2000-01-02,381.46999999999997,343.76,,,271.22999999999996,257.28,,239.51,204.73,175.03,,142.8,,,98.66000000000001,88.11999999999999,,53.73,32.879999999999995
2,2000-01-03,382.55,344.93,,,271.93,257.97999999999996,,239.79,204.53,174.83,,142.20000000000002,,,98.36,87.72,,52.33,31.58
3,2000-01-04,382.69,345.69,,,281.63,261.58,,241.99,204.63,175.03,,141.9,,,97.86,87.11999999999999,,51.83,30.479999999999997
4,2000-01-05,381.65999999999997,345.86,,,285.53,260.08,,248.49,208.23,176.43,,142.20000000000002,,,99.06,87.72,,51.03,29.68
5,2000-01-06,380.96999999999997,344.8,,,286.72999999999996,272.47999999999996,,253.19,214.33,181.43,,144.49,,,99.36,88.52,,51.53,29.18
6,2000-01-07,381.81,344.54,,,288.22999999999996,274.38,,255.69,218.53,186.73,,149.8,,,98.96000000000001,87.92,,52.03,29.38
7,2000-01-08,380.21,344.75,,,288.13,274.78,,256.59000000000003,221.33,190.63,,154.8,,,102.56,90.32,,51.93,29.78
8,2000-01-09,381.46,343.72,,,286.93,273.88,,256.19,222.23,192.83,,158.5,,,106.26,94.22,,53.93,30.18
9,2000-01-10,381.63,344.55,,,285.22999999999996,272.28,,255.09,221.63,193.03,,160.3,,,109.06,97.52,,57.629999999999995,32.379999999999995
10,2000-01-11,382.15,345.14000000000004,,,283.93,270.88,,253.79,220.23,192.13,,160.4,,,111.16000000000001,100.02,,61.129999999999995,35.68
11,2000-01-12,380.97999999999996,345.09000000000003,,,282.93,269.78,,252.59,218.83,190.73,,159.70000000000002,,,111.76,101.12,,64.23,38.78
12,2000-01-13,381.96,344.43,,,282.53,269.08,,251.89000000000001,217.73,189.43,,158.60000000000002,,,111.46000000000001,101.02,,65.33,40.980000000000004
13,2000-01-14,382.03999999999996,345.09000000000003,,,281.33,268.18,,251.19,216.93,188.43,,157.4,,,110.76,100.52,,65.83,41.980000000000004
14,2000-01-15,381.46,345.04,,,283.22999999999996,270.28,,252.87,219.42,190.8,,158.88000000000002,,,111.36,99.62,,64.31,41.37
15,2000-01-16,380.78,344.87,,,278.43,265.08,,248.49,214.83,186.53,,155.5,,,109.26,98.91999999999999,,64.23,41.879999999999995
16,2000-01-17,380.09999999999997,344.02000000000004,,,269.33,264.38,,247.29,213.35,185.23,,154.4,,,108.36,98.12,,64.03,41.379999999999995
17,2000-01-18,380.62,343.29,,,284.32,271.01,262.63,253.13,219.25,190.54,,157.93,,,110.73,97.22,,64.55,42.87
18,2000-01-19,380.27,343.53000000000003,,,277.03,263.58,,246.69,212.03,183.16,,151.70000000000002,,,106.76,96.41999999999999,,61.83,39.980000000000004
19,2000-01-20,381.06,343.44,,,275.93,261.88,,245.49,211.43,182.73,,150.9,,,105.86,95.41999999999999,,61.03,39.28
20,2000-01-21,380.83,344.04,,,275.22999999999996,261.08,,244.39000000000001,210.23,181.73,,150.20000000000002,,,105.36,94.91999999999999,,60.129999999999995,38.379999999999995
21,2000-01-22,379.83,343.86,,,275.33,260.88,,243.99,209.23,180.63,,149.10000000000002,,,104.56,94.02,,59.43,37.480000000000004
22,2000-01-23,380.0,343.28000000000003,,,275.03,260.78,,243.89000000000001,208.73,179.93,,148.10000000000002,,,103.76,93.42,,58.629999999999995,36.68
23,2000-01-24,379.88,343.05,,,273.53,259.65,,243.39000000000001,208.43,179.53,,147.3,,,102.76,92.11999999999999,,57.83,35.98
24,2000-01-25,379.15999999999997,342.87,,,273.53,258.84999999999997,,242.09,207.63,179.13,,146.8,,,102.36,91.61999999999999,,56.629999999999995,35.08
25,2000-01-26,378.76,342.72,,,274.22999999999996,259.06,,241.89000000000001,206.53,178.13,,146.3,,,102.06,91.32,,55.93,34.18
26,2000-01-27,379.75,342.01,,,274.33,259.76,,242.69,206.73,177.53,,145.31,,,101.46000000000001,90.72,,55.53,33.48
27,2000-01-28,381.4,342.75,,,274.93,260.08,,242.89000000000001,207.23,177.73,,144.91000000000003,,,100.96000000000001,90.32,,54.93,32.98
28,2000-01-29,381.40999999999997,344.18,,,273.83,260.18,,243.29,207.53,178.23,,145.19,,,100.66000000000001,89.82,,54.43,32.48
29,2000-01-30,380.91999999999996,344.29,,,272.33,258.83,,242.59,207.63,178.53,,145.54000000000002,,,100.46000000000001,89.72,,53.93,31.979999999999997
30,2000-01-31,380.82,343.93,,,271.22999999999996,258.08,,241.59,206.73,178.23,,145.77,,,100.76,89.82,,53.629999999999995,31.479999999999997
31,2000-02-01,380.06,343.70000000000005,,,271.43,257.58,,241.09,206.03,177.33,,145.36,,,100.46000000000001,89.72,,53.629999999999995,31.38
32,2000-02-02,379.59999999999997,343.1,,,271.33,257.08,,240.49,205.33,176.63,,144.47,,,100.46000000000001,89.52,,53.629999999999995,31.38
33,2000-02-03,379.84999999999997,342.65000000000003,,,271.43,257.08,,240.29,205.03,176.03,,143.8,,,100.06,89.32,,53.43,31.28
34,2000-02-04,381.32,343.3,,,271.72999999999996,257.28,,240.29,204.93,175.73,,143.20000000000002,,,99.16000000000001,88.72,,53.129999999999995,31.18
35,2000-02-05,380.5,344.05,,,271.03,257.18,,240.59,204.93,175.63,,142.9,,,99.06,88.32,,52.53,30.88
36,2000-02-06,380.46999999999997,343.46000000000004,,,270.83,257.08,,240.39000000000001,205.13,175.83,,142.9,,,98.26,87.92,,52.03,30.38
37,2000-02-07,381.13,343.46000000000004,,,271.13,257.18,,240.39000000000001,204.93,175.83,,143.0,,,98.06,87.32,,51.53,29.88
38,2000-02-08,379.93,343.91,,,271.03,257.18,,240.49,204.93,175.73,,142.9,,,98.06,87.22,,51.03,29.38
39,2000-02-09,379.99,343.41,,,270.93,257.18,,240.49,205.23,175.83,,142.9,,,98.16000000000001,87.42,,50.73,28.979999999999997
40,2000-02-10,379.41999999999996,342.92,,,270.93,257.18,,240.39000000000001,205.03,175.83,,142.9,,,98.26,87.42,,50.83,28.68
41,2000-02-11,379.93,342.47,,,270.83,256.97999999999996,,240.29,204.93,175.73,,142.9,,,97.86,87.22,,51.73,28.68
42,2000-02-12,378.78999999999996,342.72,,,270.63,256.88,,240.19,204.93,175.83,,142.9,,,97.66000000000001,86.92,,50.629999999999995,28.68
