,ID
0,UM_SP_P04_20250424_CS_7920_7930
1,UM_SP_P04_20250424_CS_7930_7940
2,UM_SP_P04_20250424_CS_7940_7950
3,UM_13_MVR_20250424_CS_52845295_25A
4,UM_15_MVR_20250424_OT_48314831_25A
5,UM_24_MVR_20250424_CS_30003011_25B
6,UM_SP_P02_20250425_CS_8234_8239
7,UM_SP_P5A_20250425_CS_7290_7300
8,UM_SP_P5A_20250425_CS_7300_7310
9,UM_SP_P05_20221024_CS_7470_7480
10,UM_SP_P04_20240722_CS_7570_7580
11,UM_SL_ILC_20131031_BD_1
12,UM_22_MVR_20100429_BD_30503064_10B
13,UM_SP_P05_20250329_CS_7470_7480
14,UM_SP_P5A_20150322_CS_7310_7320
15,UM_19_MVR_20250324_CS_40134028_25A
16,UM_SL_P25_20210731_AD_1
17,UM_22_MVR_20000614_CS_32023211_00A
18,UM_16_MVR_20140613_OT_4707_R
19,UM_20_MVR_20240703_OT_3618_L
20,UM_21_MVR_20010613_CS_33113328_01A
21,UM_11_MVR_20140515_OT_5957_L
22,UM_SP_P04_20180921_AD_7588_7593
23,UM_18_MVR_20020702_CS_41314153_02C
24,UM_13_MVR_20220728_CS_54285432_22A
25,UM_22_MVR_20250318_CS_30193021_25A
26,UM_21_MVR_20090224_CS_33203335_09A
27,UM_SP_P02_20150918_CS_8240_8250
28,UM_18_MVR_20040714_CS_41884200_04A
29,UM_18_MVR_20140622_OT_4337_L
30,UM_SP_P06_20180905_CS_7230_7240
31,UM_SL_MRC_20200904_BD_1
32,UM_SP_P10_20180315_CS_6180_6190
33,UM_11_MVR_19980909_CS_60876094_98B
34,UM_12_MVR_20240522_OT_5691_L
35,UM_11_MVR_20030930_CS_59755991_03B
36,UM_SP_P09_20200916_CS_6530_6540
37,UM_SP_P08_20200914_CS_6990_7000
38,UM_SP_P06_20240823_BD_7232_7238
39,UM_13_MVR_20240527_OT_5417_L
40,UM_18_MVR_20070924_BD_42334248_07C
41,UM_16_MVR_20140614_OT_4671_C
42,UM_18_MVR_20210817_CS_42574260_21D
43,UM_21_MVR_20190919_CS_33863396_19E
